"Order","Level","Code","Parent","Description","This item includes","This item also includes","This item excludes","Reference to ISIC Rev. 4"
"398810","4","26.51","26.5","Mittaus-, testaus- ja navigointivälineiden ja -laitteiden valmistus",,,,"2651"
"398811","4","26.52","26.5","Kellojen valmistus",,,,"2652"
"398812","3","26.6","26","Säteilylaitteiden sekä elektronisten lääkintä- ja terapialaitteiden valmistus",,,,"266"
"398813","4","26.60","26.6","Säteilylaitteiden sekä elektronisten lääkintä- ja terapialaitteiden valmistus",,,,"2660"
"398814","3","26.7","26","Optisten instrumenttien ja valokuvausvälineiden valmistus",,,,"267"
"398815","4","26.70","26.7","Optisten instrumenttien ja valokuvausvälineiden valmistus",,,,"2670"
"398816","3","26.8","26","Tallennevälineiden valmistus",,,,"268"
"398817","4","26.80","26.8","Tallennevälineiden valmistus",,,,"2680"
"398818","2","27","C","Sähkölaitteiden valmistus",,,,"27"
"398819","3","27.1","27","Sähkömoottorien, generaattorien, muuntajien sekä sähkönjakelu- ja valvontalaitteiden valmistus",,,,"271"
"398820","4","27.11","27.1","Sähkömoottorien, generaattorien ja muuntajien valmistus",,,,"2710"
"398821","4","27.12","27.1","Sähkönjakelu- ja valvontalaitteiden valmistus",,,,"2710"
"398822","3","27.2","27","Paristojen ja akkujen valmistus",,,,"272"
"398823","4","27.20","27.2","Paristojen ja akkujen valmistus",,,,"2720"
"398824","3","27.3","27","Sähköjohtojen ja kytkentälaitteiden valmistus",,,,"273"
"398825","4","27.31","27.3","Optisten kuitukaapelien valmistus",,,,"2731"
"398826","4","27.32","27.3","Muiden elektronisten ja sähköjohtojen sekä -kaapelien valmistus",,,,"2732"
"398827","4","27.33","27.3","Kytkentälaitteiden valmistus",,,,"2733"
"398828","3","27.4","27","Sähkölamppujen ja valaisimien valmistus",,,,"274"
"398829","4","27.40","27.4","Sähkölamppujen ja valaisimien valmistus",,,,"2740"
"398830","3","27.5","27","Kodinkoneiden valmistus",,,,"275"
"398831","4","27.51","27.5","Sähköisten kodinkoneiden valmistus",,,,"2750"
"398832","4","27.52","27.5","Sähköistämättömien kodinkoneiden valmistus",,,,"2750"
"398833","3","27.9","27","Muiden sähkölaitteiden valmistus",,,,"279"
"398834","4","27.90","27.9","Muiden sähkölaitteiden valmistus",,,,"2790"
"398835","2","28","C","Muiden koneiden ja laitteiden valmistus",,,,"28"
"398836","3","28.1","28","Yleiskäyttöön tarkoitettujen voimakoneiden valmistus",,,,"281"
"398837","4","28.11","28.1","Moottorien ja turbiinien valmistus (pl. lentokoneiden ja ajoneuvojen moottorit)",,,,"2811"
"398838","4","28.12","28.1","Hydraulisten voimalaitteiden valmistus",,,,"2812"
"398839","4","28.13","28.1","Pumppujen ja kompressoreiden valmistus",,,,"2813"
"398840","4","28.14","28.1","Muiden hanojen ja venttiilien valmistus",,,,"2813"
"398841","4","28.15","28.1","Laakereiden, hammaspyörien, vaihteisto- ja ohjauselementtien valmistus",,,,"2814"
"398842","3","28.2","28","Muiden yleiskäyttöön tarkoitettujen koneiden valmistus",,,,"281"
"398843","4","28.21","28.2","Teollisuusuunien, lämmitysjärjestelmien ja tulipesäpolttimien valmistus",,,,"2815"
"398844","4","28.22","28.2","Nosto- ja siirtolaitteiden valmistus",,,,"2816"
"398845","4","28.23","28.2","Konttorikoneiden ja -laitteiden valmistus (pl. tietokoneet ja niiden oheislaitteet)",,,,"2817"
"398846","4","28.24","28.2","Voimakäyttöisten käsityökalujen valmistus",,,,"2818"
"398847","4","28.25","28.2","Muuhun kuin kotitalouskäyttöön tarkoitettujen jäähdytys- ja tuuletuslaitteiden valmistus",,,,"2819"
"398848","4","28.29","28.2","Muualla luokittelematon yleiskäyttöön tarkoitettujen koneiden valmistus",,,,"2819"
"398849","3","28.3","28","Maa- ja metsätalouskoneiden valmistus",,,,"282"
"398850","4","28.30","28.3","Maa- ja metsätalouskoneiden valmistus",,,,"2821"
"398851","3","28.4","28","Metallin työstökoneiden ja konetyökalujen valmistus",,,,"282"
"398852","4","28.41","28.4","Metallin työstökoneiden valmistus",,,,"2822"
"398853","4","28.49","28.4","Muiden konetyökalujen valmistus",,,,"2822"
"398854","3","28.9","28","Muiden erikoiskoneiden valmistus",,,,"282"
"398855","4","28.91","28.9","Metallinjalostuskoneiden valmistus",,,,"2823"
"398856","4","28.92","28.9","Kaivos-, louhinta- ja rakennuskoneiden valmistus",,,,"2824"
"398857","4","28.93","28.9","Elintarvike-, juoma- ja tupakkateollisuuden koneiden valmistus",,,,"2825"
"398858","4","28.94","28.9","Tekstiili-, vaate- ja nahkateollisuuden koneiden valmistus",,,,"2826"
"398859","4","28.95","28.9","Paperi-, kartonki- ja pahviteollisuuden koneiden valmistus",,,,"2829"
"398860","4","28.96","28.9","Muovi- ja kumiteollisuuden koneiden valmistus",,,,"2829"
"398861","4","28.99","28.9","Muualla luokittelematon erikoiskoneiden valmistus",,,,"2829"
"398862","2","29","C","Moottoriajoneuvojen, perävaunujen ja puoliperävaunujen valmistus",,,,"29"
"398863","3","29.1","29","Moottoriajoneuvojen valmistus",,,,"291"
"398864","4","29.10","29.1","Moottoriajoneuvojen valmistus",,,,"2910"
"398865","3","29.2","29","Moottoriajoneuvojen korien valmistus; perävaunujen ja puoliperävaunujen valmistus",,,,"292"
"398866","4","29.20","29.2","Moottoriajoneuvojen korien valmistus; perävaunujen ja puoliperävaunujen valmistus",,,,"2920"
"398867","3","29.3","29","Osien ja tarvikkeiden valmistus moottoriajoneuvoihin",,,,"293"
"398868","4","29.31","29.3","Sähkö- ja elektroniikkalaitteiden valmistus moottoriajoneuvoihin",,,,"2930"
"398869","4","29.32","29.3","Muiden osien ja tarvikkeiden valmistus moottoriajoneuvoihin",,,,"2930"
"398870","2","30","C","Muiden kulkuneuvojen valmistus",,,,"30"
"398871","3","30.1","30","Laivojen ja veneiden rakentaminen",,,,"301"
"398872","4","30.11","30.1","Laivojen ja kelluvien rakenteiden rakentaminen",,,,"3011"
"398873","4","30.12","30.1","Huvi- ja urheiluveneiden rakentaminen",,,,"3012"
"398874","3","30.2","30","Raideliikenteen kulkuneuvojen valmistus",,,,"302"
"398875","4","30.20","30.2","Raideliikenteen kulkuneuvojen valmistus",,,,"3020"
"398876","3","30.3","30","Ilma- ja avaruusalusten ja niihin liittyvien koneiden valmistus",,,,"303"
"398877","4","30.30","30.3","Ilma- ja avaruusalusten ja niihin liittyvien koneiden valmistus",,,,"3030"
"398878","3","30.4","30","Taisteluajoneuvojen valmistus",,,,"304"
"398879","4","30.40","30.4","Taisteluajoneuvojen valmistus",,,,"3040"
"398880","3","30.9","30","Muualla luokittelematon kulkuneuvojen valmistus",,,,"309"
"398881","4","30.91","30.9","Moottoripyörien valmistus",,,,"3091"
"398882","4","30.92","30.9","Polkupyörien ja invalidiajoneuvojen valmistus",,,,"3092"
"398883","4","30.99","30.9","Muiden muualla luokittelemattomien kulkuneuvojen valmistus",,,,"3099"
"398884","2","31","C","Huonekalujen valmistus",,,,"31"
"398885","3","31.0","31","Huonekalujen valmistus",,,,"310"
"398886","4","31.01","31.0","Konttori- ja myymäläkalusteiden valmistus",,,,"3100"
"398887","4","31.02","31.0","Keittiökalusteiden valmistus",,,,"3100"
"398888","4","31.03","31.0","Patjojen valmistus",,,,"3100"
"398889","4","31.09","31.0","Muiden huonekalujen valmistus",,,,"3100"
"398890","2","32","C","Muu valmistus",,,,"32"
"398891","3","32.1","32","Korujen, kultasepäntuotteiden ja muiden vastaavien tuotteiden valmistus",,,,"321"
"398892","4","32.11","32.1","Kolikoiden ja mitalien valmistus",,,,"3211"
"398893","4","32.12","32.1","Jalokivikorujen ja muiden kultasepäntuotteiden valmistus",,,,"3211"
"398894","4","32.13","32.1","Jäljitelmäkorujen ja muiden vastaavien tuotteiden valmistus",,,,"3212"
"398895","3","32.2","32","Soitinten valmistus",,,,"322"
"398896","4","32.20","32.2","Soitinten valmistus",,,,"3220"
"398897","3","32.3","32","Urheiluvälineiden valmistus",,,,"323"
"398898","4","32.30","32.3","Urheiluvälineiden valmistus",,,,"3230"
"398899","3","32.4","32","Pelien ja leikkikalujen valmistus",,,,"324"
"398900","4","32.40","32.4","Pelien ja leikkikalujen valmistus",,,,"3240"
"398901","3","32.5","32","Lääkintä- ja hammaslääkintäinstrumenttien ja -tarvikkeiden valmistus",,,,"325"
"398902","4","32.50","32.5","Lääkintä- ja hammaslääkintäinstrumenttien ja -tarvikkeiden valmistus",,,,"3250"
"398903","3","32.9","32","Muualla luokittelematon valmistus",,,,"329"
"398904","4","32.91","32.9","Luutien ja harjojen valmistus",,,,"3290"
"398905","4","32.99","32.9","Muu muualla luokittelematon valmistus",,,,"3290"
"398906","2","33","C","Koneiden ja laitteiden korjaus, huolto ja asennus",,,,"33"
"398907","3","33.1","33","Metallituotteiden, teollisuuden koneiden ja laitteiden korjaus ja huolto",,,,"331"
"398908","4","33.11","33.1","Metallituotteiden korjaus ja huolto",,,,"3311"
"398909","4","33.12","33.1","Teollisuuden koneiden ja laitteiden korjaus ja huolto",,,,"3312"
"398910","4","33.13","33.1","Elektronisten ja optisten laitteiden korjaus ja huolto",,,,"3313"
"398911","4","33.14","33.1","Sähkölaitteiden korjaus ja huolto",,,,"3314"
"398912","4","33.15","33.1","Laivojen ja veneiden korjaus ja huolto",,,,"3315"
"398913","4","33.16","33.1","Ilma- ja avaruusalusten korjaus ja huolto",,,,"3315"
"398914","4","33.17","33.1","Muiden kulkuneuvojen korjaus ja huolto",,,,"3315"
"398915","4","33.19","33.1","Muiden laitteiden korjaus ja huolto",,,,"3319"
"398916","3","33.2","33","Teollisuuden koneiden ja laitteiden ym. asennus",,,,"332"
"398917","4","33.20","33.2","Teollisuuden koneiden ja laitteiden ym. asennus",,,,"3320"
"398918","1","D",,"SÄHKÖ-, KAASU-, LÄMPÖ- JA ILMASTOINTIHUOLTO",,,,"D"
"398919","2","35","D","Sähkö-, kaasu-, lämpö- ja ilmastointihuolto",,,,"35"
"398920","3","35.1","35","Sähkövoiman tuotanto, siirto ja jakelu",,,,"351"
"398921","4","35.11","35.1","Sähkön tuotanto",,,,"3510"
"398922","4","35.12","35.1","Sähkön siirto",,,,"3510"
"398923","4","35.13","35.1","Sähkön jakelu",,,,"3510"
"398924","4","35.14","35.1","Sähkön kauppa",,,,"3510"
"398925","3","35.2","35","Kaasun tuotanto; kaasumaisten polttoaineiden jakelu putkiverkossa",,,,"352"
"398926","4","35.21","35.2","Kaasun tuotanto",,,,"3520"
"398927","4","35.22","35.2","Kaasumaisten polttoaineiden jakelu putkiverkossa",,,,"3520"
"398928","4","35.23","35.2","Kaasun kauppa putkiverkossa",,,,"3520"
"398929","3","35.3","35","Lämmön ja kylmän tuotanto ja jakelu",,,,"353"
"398930","4","35.30","35.3","Lämmön ja kylmän tuotanto ja jakelu",,,,"3530"
"398931","1","E",,"VESIHUOLTO, VIEMÄRI- JA JÄTEVESIHUOLTO, JÄTEHUOLTO JA MUU YMPÄRISTÖN PUHTAANAPITO",,,,"E"
"398932","2","36","E","Veden otto, puhdistus ja jakelu",,,,"36"
"398933","3","36.0","36","Veden otto, puhdistus ja jakelu",,,,"360"
"398934","4","36.00","36.0","Veden otto, puhdistus ja jakelu",,,,"3600"
"398935","2","37","E","Viemäri- ja jätevesihuolto",,,,"37"
"398936","3","37.0","37","Viemäri- ja jätevesihuolto",,,,"370"
"398937","4","37.00","37.0","Viemäri- ja jätevesihuolto",,,,"3700"
"398938","2","38","E","Jätteen keruu, käsittely ja loppusijoitus; materiaalien kierrätys",,,,"38"
"398939","3","38.1","38","Jätteen keruu",,,,"381"
"398940","4","38.11","38.1","Tavanomaisen jätteen keruu",,,,"3811"
"398941","4","38.12","38.1","Ongelmajätteen keruu",,,,"3812"
"398942","3","38.2","38","Jätteen käsittely ja loppusijoitus",,,,"382"
"398943","4","38.21","38.2","Tavanomaisen jätteen käsittely ja loppusijoitus",,,,"3821"
"398944","4","38.22","38.2","Ongelmajätteen käsittely, loppusijoitus ja hävittäminen",,,,"3822"
"398945","3","38.3","38","Materiaalien kierrätys",,,,"383"
"398946","4","38.31","38.3","Romujen purkaminen",,,,"3830"
"398947","4","38.32","38.3","Lajiteltujen materiaalien kierrätys",,,,"3830"
"398948","2","39","E","Maaperän ja vesistöjen kunnostus ja muut ympäristönhuoltopalvelut",,,,"39"
"398949","3","39.0","39","Maaperän ja vesistöjen kunnostus ja muut ympäristönhuoltopalvelut",,,,"390"
"398950","4","39.00","39.0","Maaperän ja vesistöjen kunnostus ja muut ympäristönhuoltopalvelut",,,,"3900"
"398951","1","F",,"RAKENTAMINEN",,,,"F"
"398952","2","41","F","Talonrakentaminen",,,,"41"
"398953","3","41.1","41","Rakennuttaminen ja rakennushankkeiden kehittäminen",,,,"410"
"398954","4","41.10","41.1","Rakennuttaminen ja rakennushankkeiden kehittäminen",,,,"4100"
"398955","3","41.2","41","Asuin- ja muiden rakennusten rakentaminen",,,,"410"
"398956","4","41.20","41.2","Asuin- ja muiden rakennusten rakentaminen",,,,"4100"
"398957","2","42","F","Maa- ja vesirakentaminen",,,,"42"
"398958","3","42.1","42","Teiden ja rautateiden rakentaminen",,,,"421"
"398959","4","42.11","42.1","Teiden ja moottoriteiden rakentaminen",,,,"4210"
"398960","4","42.12","42.1","Rautateiden ja metrolinjojen rakentaminen",,,,"4210"
"398961","4","42.13","42.1","Siltojen ja tunneleiden rakentaminen",,,,"4210"
"398962","3","42.2","42","Yleisten jakeluverkkojen rakentaminen",,,,"422"
"398963","4","42.21","42.2","Yleisten jakeluverkkojen rakentaminen nestemäisiä ja kaasumaisia aineita varten",,,,"4220"
"398964","4","42.22","42.2","Sähkö- ja tietoliikenneverkkojen rakentaminen",,,,"4220"
"398965","3","42.9","42","Muu maa- ja vesirakentaminen",,,,"429"
"398966","4","42.91","42.9","Vesirakentaminen",,,,"4290"
"398967","4","42.99","42.9","Muualla luokittelematon maa- ja vesirakentaminen",,,,"4290"
"398968","2","43","F","Erikoistunut rakennustoiminta",,,,"43"
"398969","3","43.1","43","Rakennusten ja rakennelmien purku ja rakennuspaikan valmistelutyöt",,,,"431"
"398970","4","43.11","43.1","Rakennusten ja rakennelmien purku",,,,"4311"
"398971","4","43.12","43.1","Rakennuspaikan valmistelutyöt",,,,"4312"
"398972","4","43.13","43.1","Koeporaus",,,,"4312"
"398973","3","43.2","43","Sähkö-, vesijohto- ja muu rakennusasennus",,,,"432"
"398974","4","43.21","43.2","Sähköasennus",,,,"4321"
"398975","4","43.22","43.2","Lämpö-, vesijohto- ja ilmastointiasennus",,,,"4322"
"398976","4","43.29","43.2","Muu rakennusasennus",,,,"4329"
"398977","3","43.3","43","Rakennusten ja rakennelmien viimeistely",,,,"433"
"398978","4","43.31","43.3","Rappaus",,,,"4330"
"398979","4","43.32","43.3","Rakennuspuusepän asennustyöt",,,,"4330"
"398980","4","43.33","43.3","Lattianpäällystys ja seinien verhoilu",,,,"4330"
"398981","4","43.34","43.3","Maalaus ja lasitus",,,,"4330"
"398982","4","43.39","43.3","Muu rakennusten viimeistely",,,,"4330"
"398983","3","43.9","43","Muu erikoistunut rakennustoiminta",,,,"439"
"398984","4","43.91","43.9","Kattorakenteiden asennus ja kattaminen",,,,"4390"
"398985","4","43.99","43.9","Muualla luokittelematon erikoistunut rakennustoiminta",,,,"4390"
"398986","1","G",,"TUKKU- ja VÄHITTÄISKAUPPA; MOOTTORIAJONEUVOJEN JA MOOTTORIPYÖRIEN KORJAUS",,,,"G"
"398987","2","45","G","Moottoriajoneuvojen ja moottoripyörien tukku- ja vähittäiskauppa sekä korjaus",,,,"45"
"398988","3","45.1","45","Moottoriajoneuvojen kauppa",,,,"451"
"398989","4","45.11","45.1","Henkilöautojen ja kevyiden moottoriajoneuvojen kauppa",,,,"4510"
"398990","4","45.19","45.1","Muiden moottoriajoneuvojen myynti",,,,"4510"
"398991","3","45.2","45","Moottoriajoneuvojen huolto ja korjaus (pl. moottoripyörät)",,,,"452"
"398992","4","45.20","45.2","Moottoriajoneuvojen huolto ja korjaus (pl. moottoripyörät)",,,,"4520"
"398993","3","45.3","45","Moottoriajoneuvojen osien ja varusteiden kauppa",,,,"453"
"398994","4","45.31","45.3","Moottoriajoneuvojen osien ja varusteiden tukkukauppa",,,,"4530"
"398995","4","45.32","45.3","Moottoriajoneuvojen osien ja varusteiden vähittäiskauppa",,,,"4530"
"398996","3","45.4","45","Moottoripyörien sekä niiden osien ja varusteiden myynti, huolto ja korjaus",,,,"454"
"398997","4","45.40","45.4","Moottoripyörien sekä niiden osien ja varusteiden myynti, huolto ja korjaus",,,,"4540"
"398998","2","46","G","Tukkukauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa)",,,,"46"
"398999","3","46.1","46","Agentuuritoiminta",,,,"461"
"399000","4","46.11","46.1","Maatalousraaka-aineiden, elävien eläinten, tekstiiliraaka-aineiden sekä puolivalmisteiden agentuuritoiminta",,,,"4610"
"399001","4","46.12","46.1","Polttoaineiden, malmien, metallien ja teollisuuskemikaalien agentuuritoiminta",,,,"4610"
"399002","4","46.13","46.1","Puutavaran ja rakennusmateriaalien agentuuritoiminta",,,,"4610"
"399003","4","46.14","46.1","Koneiden ja laitteiden agentuuritoiminta",,,,"4610"
"399004","4","46.15","46.1","Huonekalujen, taloustavaroiden ja rautakauppatavaroiden agentuuritoiminta",,,,"4610"
"399005","4","46.16","46.1","Tekstiilien, vaatteiden, jalkineiden ja nahkavalmisteiden agentuuritoiminta",,,,"4610"
"399006","4","46.17","46.1","Elintarvikkeiden, juomien ja tupakan agentuuritoiminta",,,,"4610"
"399007","4","46.18","46.1","Muu erikoistunut agentuuritoiminta",,,,"4610"
"399008","4","46.19","46.1","Yleisagentuuritoiminta",,,,"4610"
"399009","3","46.2","46","Maatalousperäisten raaka-aineiden ja elävien eläinten tukkukauppa",,,,"462"
"399010","4","46.21","46.2","Viljan, raakatupakan, siementen ja eläinrehujen tukkukauppa",,,,"4620"
"399011","4","46.22","46.2","Kukkien ja taimien tukkukauppa",,,,"4620"
"399012","4","46.23","46.2","Elävien eläinten tukkukauppa",,,,"4620"
"399013","4","46.24","46.2","Turkisten ja nahkojen tukkukauppa",,,,"4620"
"399014","3","46.3","46","Elintarvikkeiden, juomien ja tupakan tukkukauppa",,,,"463"
"399015","4","46.31","46.3","Juures-, vihannes- marja- ja hedelmätukkukauppa",,,,"4630"
"399016","4","46.32","46.3","Lihan ja lihatuotteiden tukkukauppa",,,,"4630"
"399017","4","46.33","46.3","Maitotaloustuotteiden, munien sekä ravintoöljyjen ja",,,,"4630"
"399018","4","46.34","46.3","Alkoholi- ja muiden juomien tukkukauppa",,,,"4630"
"399019","4","46.35","46.3","Tupakkatuotteiden tukkukauppa",,,,"4630"
"399020","4","46.36","46.3","Sokerin, suklaan, makeisten ja leipomotuotteiden tukkukauppa",,,,"4630"
"399021","4","46.37","46.3","Kahvin, teen, kaakaon ja mausteiden tukkukauppa",,,,"4630"
"399022","4","46.38","46.3","Kalan, luontaistuotteiden ja muiden elintarvikkeiden tukkukauppa",,,,"4630"
"399023","4","46.39","46.3","Elintarvikkeiden, juomien ja tupakan yleistukkukauppa",,,,"4630"
"399024","3","46.4","46","Taloustavaroiden tukkukauppa",,,,"464"
"399025","4","46.41","46.4","Tekstiilien tukkukauppa",,,,"4641"
"399026","4","46.42","46.4","Vaatteiden ja jalkineiden tukkukauppa",,,,"4641"
"399027","4","46.43","46.4","Kodinkoneiden tukkukauppa",,,,"4649"
"399028","4","46.44","46.4","Posliini-, lasi- ja muiden taloustavaroiden sekä puhdistusaineiden tukkukauppa",,,,"4649"
"399029","4","46.45","46.4","Hajuvesien ja kosmetiikan tukkukauppa",,,,"4649"
"399030","4","46.46","46.4","Farmaseuttisten tuotteiden tukkukauppa",,,,"4649"
"399031","4","46.47","46.4","Huonekalujen, mattojen ja valaisimien tukkukauppa",,,,"4649"
"399032","4","46.48","46.4","Kellojen ja korujen tukkukauppa",,,,"4649"
"399033","4","46.49","46.4","Muiden taloustavaroiden tukkukauppa",,,,"4649"
"399034","3","46.5","46","Tieto- ja viestintäteknisten laitteiden tukkukauppa",,,,"465"
"399035","4","46.51","46.5","Tietokoneiden, oheislaitteiden ja ohjelmistojen tukkukauppa",,,,"4651"
"399036","4","46.52","46.5","Elektroniikka- ja viestintälaitteiden ja osien tukkukauppa",,,,"4652"
"399037","3","46.6","46","Muiden koneiden, laitteiden ja tarvikkeiden tukkukauppa",,,,"466"
"399038","4","46.61","46.6","Maa- ja metsätalouskoneiden ja -tarvikkeiden tukkukauppa mukaan lukien traktorit",,,,"4653"
"399039","4","46.62","46.6","Työstökoneiden tukkukauppa",,,,"4659"
"399040","4","46.63","46.6","Kaivos- ja rakennuskoneiden tukkukauppa",,,,"4659"
"399041","4","46.64","46.6","Tekstiiliteollisuuden koneiden sekä ompelu- ja kutomakoneiden tukkukauppa",,,,"4659"
"399042","4","46.65","46.6","Toimitilakalusteiden tukkukauppa",,,,"4659"
"399043","4","46.66","46.6","Muiden konttorikoneiden ja -laitteiden tukkukauppa",,,,"4659"
"399044","4","46.69","46.6","Muiden koneiden, laitteiden ja tarvikkeiden tukkukauppa",,,,"4659"
"399045","3","46.7","46","Muu erikoistunut tukkukauppa",,,,"466"
"399046","4","46.71","46.7","Kiinteiden, nestemäisten ja kaasumaisten polttoaineiden yms. tukkukauppa",,,,"4661"
"399047","4","46.72","46.7","Raakametallien ja metallimalmien tukkukauppa",,,,"4662"
"399048","4","46.73","46.7","Puun, rakennusmateriaalien ja saniteettilaitteiden tukkukauppa",,,,"4663"
"399049","4","46.74","46.7","Rautakauppatavaroiden, LVI-laitteiden ja -tarvikkeiden tukkukauppa",,,,"4663"
"399050","4","46.75","46.7","Peruskemikaalien, lannoitteiden yms. tukkukauppa",,,,"4669"
"399051","4","46.76","46.7","Muiden välituotteiden tukkukauppa",,,,"4669"
"399052","4","46.77","46.7","Jätteen ja romun tukkukauppa",,,,"4669"
"399053","3","46.9","46","Muu tukkukauppa",,,,"469"
"399054","4","46.90","46.9","Muu tukkukauppa",,,,"4690"
"399055","2","47","G","Vähittäiskauppa (pl. moottoriajoneuvojen ja moottoripyörien kauppa)",,,,"47"
"399056","3","47.1","47","Vähittäiskauppa erikoistumattomissa myymälöissä",,,,"471"
"399057","4","47.11","47.1","Elintarvikkeiden, juomien ja tupakan erikoistumaton vähittäiskauppa",,,,"4711"
"399058","4","47.19","47.1","Muu vähittäiskauppa erikoistumattomissa myymälöissä",,,,"4719"
"399059","3","47.2","47","Elintarvikkeiden, juomien ja tupakan vähittäiskauppa erikoismyymälöissä",,,,"472"
"399060","4","47.21","47.2","Hedelmien, marjojen ja vihannesten vähittäiskauppa",,,,"4721"
"399061","4","47.22","47.2","Lihan ja lihatuotteiden vähittäiskauppa",,,,"4721"
"399062","4","47.23","47.2","Kalan, äyriäisten ja nilviäisten vähittäiskauppa",,,,"4721"
"399063","4","47.24","47.2","Leipomotuotteiden ja makeisten vähittäiskauppa",,,,"4721"
"399064","4","47.25","47.2","Alkoholi- ja muiden juomien vähittäiskauppa",,,,"4722"
"399065","4","47.26","47.2","Tupakkatuotteiden vähittäiskauppa",,,,"4723"
"399066","4","47.29","47.2","Muu vähittäiskauppa erikoismyymälöissä",,,,"4721"
"399067","3","47.3","47","Ajoneuvojen polttoaineen vähittäiskauppa",,,,"473"
"399068","4","47.30","47.3","Ajoneuvojen polttoaineen vähittäiskauppa",,,,"4730"
"399069","3","47.4","47","Tieto- ja viestintäteknisten laitteiden vähittäiskauppa erikoismyymälöissä",,,,"474"
"399070","4","47.41","47.4","Tietokoneiden, niiden oheislaitteiden ja ohjelmistojen vähittäiskauppa",,,,"4741"
"399071","4","47.42","47.4","Televiestintälaitteiden vähittäiskauppa",,,,"4741"
"399072","4","47.43","47.4","Viihde-elektroniikan vähittäiskauppa",,,,"4742"
"399073","3","47.5","47","Muiden kotitaloustavaroiden vähittäiskauppa erikoismyymälöissä",,,,"475"
"399074","4","47.51","47.5","Tekstiilien vähittäiskauppa",,,,"4751"
"399075","4","47.52","47.5","Rautakauppatavaran, maalien ja lasin vähittäiskauppa",,,,"4752"
"399076","4","47.53","47.5","Mattojen, tapettien ja lattianpäällysteiden vähittäiskauppa",,,,"4753"
"399077","4","47.54","47.5","Sähköisten kodinkoneiden vähittäiskauppa",,,,"4759"
"399078","4","47.59","47.5","Huonekalujen, valaisimien ja muualla luokittelemattomien taloustarvikkeiden vähittäiskauppa erikoismyymälöissä",,,,"4759"
"399079","3","47.6","47","Kulttuuri- ja vapaa-ajan tuotteiden vähittäiskauppa erikoismyymälöissä",,,,"476"
"399080","4","47.61","47.6","Kirjojen vähittäiskauppa",,,,"4761"
"399081","4","47.62","47.6","Sanomalehtien ja paperitavaran vähittäiskauppa",,,,"4761"
"399082","4","47.63","47.6","Musiikki- ja videotallenteiden vähittäiskauppa",,,,"4762"
"399083","4","47.64","47.6","Urheiluvälineiden vähittäiskauppa",,,,"4763"
"399084","4","47.65","47.6","Pelien ja leikkikalujen vähittäiskauppa",,,,"4764"
"399085","3","47.7","47","Muiden tavaroiden vähittäiskauppa erikoismyymälöissä",,,,"477"
"399086","4","47.71","47.7","Vaatteiden vähittäiskauppa",,,,"4771"
"399087","4","47.72","47.7","Jalkineiden ja nahkatavaroiden vähittäiskauppa",,,,"4771"
"399088","4","47.73","47.7","Apteekit",,,,"4772"
"399089","4","47.74","47.7","Terveydenhoitotarvikkeiden vähittäiskauppa",,,,"4772"
"399090","4","47.75","47.7","Kosmetiikka- ja hygieniatuotteiden vähittäiskauppa",,,,"4772"
"399091","4","47.76","47.7","Kukkien, kasvien, siementen, lannoitteiden, lemmikkieläinten ja niiden ruokien vähittäiskauppa",,,,"4773"
"399092","4","47.77","47.7","Kultasepänteosten ja kellojen vähittäiskauppa",,,,"4773"
"399093","4","47.78","47.7","Muu uusien tavaroiden vähittäiskauppa",,,,"4773"
"399094","4","47.79","47.7","Käytettyjen tavaroiden vähittäiskauppa myymälöissä",,,,"4774"
"399095","3","47.8","47","Tori- ja markkinakauppa",,,,"478"
"399096","4","47.81","47.8","Elintarvikkeiden, juomien ja tupakkatuotteiden vähittäiskauppa kojuista ja toreilla",,,,"4781"
"399097","4","47.82","47.8","Tekstiilien, vaatteiden ja jalkineiden vähittäiskauppa kojuista ja toreilla",,,,"4782"
"399098","4","47.89","47.8","Muiden tavaroiden vähittäiskauppa kojuista ja toreilla",,,,"4789"
"399099","3","47.9","47","Vähittäiskauppa muualla kuin myymälöissä (pl. tori- ja markkinakauppa)",,,,"479"
"399100","4","47.91","47.9","Vähittäiskauppa postimyyntiliikkeiden tai Internetin välityksellä",,,,"4791"
"399101","4","47.99","47.9","Muu vähittäiskauppa muualla kuin myymälöissä",,,,"4799"
"399102","1","H",,"KULJETUS JA VARASTOINTI",,,,"H"
"399103","2","49","H","Maaliikenne ja putkijohtokuljetus",,,,"49"
"399104","3","49.1","49","Rautateiden henkilöliikenne, kaukoliikenne",,,,"491"
"399105","4","49.10","49.1","Rautateiden henkilöliikenne, kaukoliikenne",,,,"4911"
"399106","3","49.2","49","Rautateiden tavaraliikenne",,,,"491"
"399107","4","49.20","49.2","Rautateiden tavaraliikenne",,,,"4912"
"399108","3","49.3","49","Muu maaliikenteen henkilöliikenne",,,,"492"
"399109","4","49.31","49.3","Paikallisliikenne",,,,"4921"
"399110","4","49.32","49.3","Taksiliikenne",,,,"4922"
"399111","4","49.39","49.3","Muualla luokittelematon maaliikenteen henkilöliikenne",,,,"4922"
"399112","3","49.4","49","Tieliikenteen tavarakuljetus ja muuttopalvelut",,,,"492"
"399113","4","49.41","49.4","Tieliikenteen tavarakuljetus",,,,"4923"
"399114","4","49.42","49.4","Muuttopalvelut",,,,"4923"
